Country Name,Country Code,Indicator Name,1960,1961,1962,1963,1964,Average(1960-1964),1965,1966,1967,1968,1969,Average(1965-1969),1970,1971,1972,1973,1974,AVERAGE(1970-1974),1975,1976,1977,1978,1979,Average(1975-1979),1980,1981,1982,1983,1984,average(1980-1984),1985,1986,1987,1988,1989,Average(1985-1989),1990,1991,1992,1993,1994,Avergae(1990-1994),1995,1996,1997,1998,1999,Average(1995-1999),2000,2001,2002,2003,2004,Average(2000-2004),2005,2006,2007,2008,2009,Average(2005-2009),2010,2011,2012,2013,2014,Average(2010-2014),2015,2016,2017,2018,2019,Average(2015-2019),2020,2021
Bhutan,BTN,"Inflation, consumer prices (annual %)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.93,9.9,18.02,7.03,8.98,1.88,9.95,6.37,10.08,8.78,7.41,10,12.28,15.98,11.21,6.99,11.29,9.5,8.79,6.51,10.58,6.78,8.43,4.01,3.41,2.48,1.57,-18.11,-1.33,5.31,5,5.16,8.33,4.36,5.63,7.04,8.85,10.92,7.01,8.27,8.42,4.55,3.22,4.96,2.72,2.73,3.63,5.63,7.35
Botswana,BWA,"Inflation, consumer prices (annual %)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.97,11.73,13.17,9.04,11.74,11.53,13.63,16.43,11.14,10.48,8.58,12.05,8.09,10,9.8,8.35,11.58,9.56,11.4,11.77,16.17,14.33,10.54,12.84,10.51,10.08,8.72,6.66,7.75,8.75,8.6,6.56,8.03,9.19,6.95,7.87,8.61,11.56,7.08,12.7,8.03,9.6,6.95,8.46,7.54,5.88,4.4,6.65,3.06,2.81,3.31,3.24,2.77,3.04,1.89,7.24
Central African Republic,CAF,"Inflation, consumer prices (annual %)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.03,13.3,14.61,2.54,6.08,10.42,2.25,-6.99,-3.96,0.69,0.48,-0.01,-2.76,-1.03,-2.92,24.57,3.57,19.19,3.72,1.61,-1.89,-1.41,4.25,3.2,3.83,2.33,4.13,-2.07,2.29,2.88,6.7,0.96,9.26,3.52,4.66,1.49,1.19,5.48,6.99,14.9,6.01,1.4,4.95,4.18,1.61,2.69,2.97,1.71,4.26
Canada,CAN,"Inflation, consumer prices (annual %)",1.36,1.02,1.06,1.63,1.91,1.4,2.33,3.82,3.58,4.06,4.56,3.82,3.35,2.7,4.99,7.49,11,5.9,10.67,7.54,7.98,8.97,9.14,8.86,10.13,12.47,10.77,5.86,4.3,8.71,3.96,4.19,4.36,4.03,4.98,4.3,4.78,5.63,1.49,1.87,0.17,2.79,2.15,1.57,1.62,1,1.73,1.61,2.72,2.53,2.26,2.76,1.86,2.42,2.21,2,2.14,2.37,0.3,1.8,1.78,2.91,1.52,0.94,1.91,1.81,1.13,1.43,1.6,2.27,1.95,1.67,0.72,3.4
Central Europe and the Baltics,CEB,"Inflation, consumer prices (annual %)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.53,150.62,72.88,35.92,75.59,27.95,19.79,8.88,8.21,4.02,13.77,8.91,5.75,3.13,2.35,3.59,4.75,3.32,3.93,4.84,6.36,2.75,4.24,1.8,4.13,3.33,1.44,0.05,2.15,-0.46,-0.05,2.08,2.53,2.66,1.35,1.67,3.84
Switzerland,CHE,"Inflation, consumer prices (annual %)",1.44,1.85,4.32,3.44,3.08,2.82,3.41,4.78,4.01,2.4,2.49,3.26,3.62,6.57,6.66,8.75,9.77,7.07,6.7,1.72,1.3,1.03,3.65,2.88,4.02,6.49,5.66,2.95,2.93,4.41,3.44,0.75,1.44,1.87,3.16,2.13,5.4,5.86,4.04,3.29,0.85,3.89,1.8,0.81,0.52,0.02,0.81,0.79,1.56,0.99,0.64,0.64,0.8,0.93,1.17,1.06,0.73,2.43,-0.48,0.98,0.69,0.23,-0.69,-0.22,-0.01,0,-1.14,-0.43,0.53,0.94,0.36,0.05,-0.73,0.58
Channel Islands,CHI,"Inflation, consumer prices (annual %)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chile,CHL,"Inflation, consumer prices (annual %)",0,0,0,0,0,0,0,0,0,0,0,0,0,20.05,77.8,352.81,504.74,191.08,374.74,211.92,91.95,40.09,33.39,150.42,35.14,19.69,9.94,27.26,19.86,22.38,30.7,19.48,19.88,14.68,17.03,20.35,26.04,21.78,15.43,12.73,11.44,17.48,8.23,7.36,6.13,5.11,3.34,6.03,3.84,3.57,2.49,2.81,1.05,2.75,3.05,3.39,4.41,8.72,0.35,3.98,1.41,3.34,3.01,1.79,4.72,2.85,4.35,3.79,2.18,2.43,2.56,3.06,3.05,4.52
China,CHN,"Inflation, consumer prices (annual %)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.23,18.81,18.25,8.86,3.05,3.56,6.35,14.61,24.26,10.37,16.79,8.31,2.79,-0.77,-1.4,5.14,0.35,0.72,-0.73,1.13,3.82,1.06,1.78,1.65,4.82,5.93,-0.73,2.69,3.18,5.55,2.62,2.62,1.92,3.18,1.44,2,1.59,2.07,2.9,2,2.42,0.98
Cote d'Ivoire,CIV,"Inflation, consumer prices (annual %)",0,11.62,-1.34,0.94,0.62,2.37,2.61,4.19,2.29,5.35,4.45,3.89,8.21,-0.44,0.31,11.1,17.36,7.31,11.44,12.08,27.42,13.24,16.34,16.11,14.7,8.8,7.58,5.64,4.28,8.2,1.86,9.68,6.94,6.93,1.05,5.29,-0.81,1.68,4.23,2.16,26.08,6.67,14.3,2.48,4.02,4.61,0.7,5.22,2.53,4.36,3.08,3.3,1.46,2.94,3.89,2.47,1.89,6.31,1.02,3.11,1.23,4.91,1.3,2.58,0.45,2.09,1.25,0.72,0.69,0.36,-1.11,0.38,2.43,4.09
Cameroon,CMR,"Inflation, consumer prices (annual %)",0,0,0,0,0,0,0,0,0,0,-1.1,-0.37,5.86,4.01,8.09,10.38,17.23,9.12,13.55,9.93,14.7,12.46,6.58,11.45,9.55,10.73,13.26,16.63,11.37,12.31,8.51,7.77,13.14,1.68,-1.67,5.89,1.1,0.06,-0.02,-3.21,35.09,6.61,9.07,3.92,4.79,3.17,1.87,4.56,1.23,4.42,2.83,0.62,0.23,1.87,2.01,5.12,0.92,5.34,3.04,3.29,1.28,2.94,2.74,2.06,1.83,2.17,2.69,0.86,0.64,1.07,2.45,1.54,2.44,2.27
"Congo, Dem. Rep.",COD,"Inflation, consumer prices (annual %)",0,0,0,0,35.42,7.08,-2.73,15.78,36.93,53.32,6.18,19.28,8.03,5.78,15.8,15.64,29.47,14.94,28.66,80.39,68.95,48.77,101.05,65.56,46.63,35.41,36.7,76.53,52.23,49.5,23.82,44.4,78.67,71.09,104.07,64.41,81.3,2154.44,4129.17,1986.9,23773.13,6424.99,541.91,492.44,198.52,29.15,284.89,309.38,513.91,359.94,31.52,12.87,3.99,184.45,21.32,13.05,16.95,17.3,2.8,14.28,7.1,15.32,9.72,0.81,1.24,6.84,0.74,2.89,0,0,0,0.73,0,0
"Congo, Rep.",COG,"Inflation, consumer prices (annual %)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.16,0.44,1.03,-1.8,0.77,2.89,-1.68,-3.94,4.92,42.44,8.93,9.42,10.03,0,0,4.14,4.72,-0.88,0.06,4.38,-0.63,2.43,1.07,3.09,6.54,2.65,4.96,4.42,4.33,0.39,1.76,5.01,4.63,0.91,2.54,3.17,3.19,0.45,1.15,2.21,2.03,1.8,1.72
Colombia,COL,"Inflation, consumer prices (annual %)",5.81,8.28,4.7,26.36,17.07,12.44,7.59,16.73,8.33,7.45,6.98,9.01,6.91,12.06,12.03,22.6,22.58,15.23,25.19,18.92,34.09,17.51,24.2,23.98,26.58,27.52,24.7,19.49,16.36,22.93,23.97,18.85,23.31,28.14,25.86,24.03,29.14,30.35,27.03,22.44,22.85,26.36,20.9,20.8,18.46,18.68,10.87,17.94,9.22,7.97,6.35,7.13,5.9,7.32,5.05,4.29,5.55,7,4.2,5.22,2.27,3.42,3.17,2.02,2.9,2.75,4.99,7.51,4.31,3.24,3.53,4.72,2.52,3.5
Comoros,COM,"Inflation, consumer prices (annual %)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.55,3.53,3.8,4.47,3.47,3.01,3.37,4.47,1.7,4.36,3.38,3.35,1.84,6.31,-4.29,0,1.44,0,0,0,0,0,0,0,0
