country_name,country_code,indicator_name,Average_Inflation1960_1964,Average_Inflation1965_1969,Average_Inflation1970_1974,Average_Inflation1975_1979,Average_Inflation1980_1984,Average_Inflation1985_1989,Average_Inflation1990_1994,Average_Inflation1995_1999,Average_Inflation2000_2004,Average_Inflation2005_2009,Average_Inflation2010_2014,Average_Inflation2015_2019,Inflation_2021,Inflation_2022
Brunei Darussalam,BRN,"Inflation, consumer prices (annual %)",0,0,0,0,3.95,1.58,2.35,1.76,0.19,1.1,0.16,0.28,1.94,1.73
Bhutan,BTN,"Inflation, consumer prices (annual %)",0,0,0,0,8.98,7.41,11.29,8.43,1.33,5.63,8.42,3.63,5.63,7.35
Botswana,BWA,"Inflation, consumer prices (annual %)",0,0,0,11.53,12.5,9.56,12.84,8.75,7.87,9.6,6.65,3.4,1.89,7.24
Central African Republic,CAF,"Inflation, consumer prices (annual %)",0,0,0,0,6.8,0.48,3.57,4.25,2.29,4.66,6.1,2.97,1.71,4.26
Canada,CAN,"Inflation, consumer prices (annual %)",1.4,3.82,2.61,8.86,8.71,4.3,2.79,1.61,2.42,1.8,1.81,1.67,0.72,3.4
Central Europe and the Baltics,CEB,"Inflation, consumer prices (annual %)",0,0,0,0,0,0,75.59,13.77,4.75,4.24,2.15,1.35,1.67,3.84
Switzerland,CHE,"Inflation, consumer prices (annual %)",2.82,3.26,3.4,2.88,4.41,2.13,3.89,0.79,0.93,0.98,0,0.5,0.73,0.58
Channel Islands,CHI,"Inflation, consumer prices (annual %)",0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chile,CHL,"Inflation, consumer prices (annual %)",0,0,0,15.42,22.38,2.35,17.48,6.3,2.75,3.98,2.85,3.6,3.5,4.52
China,CHN,"Inflation, consumer prices (annual %)",0,0,0,0,0,8.86,1.37,5.14,1.6,2.69,3.18,2,2.42,0.98
Cote d'Ivoire,CIV,"Inflation, consumer prices (annual %)",2.37,3.89,3.13,16.11,8.2,5.29,6.67,5.22,2.94,3.11,2.9,0.38,2.43,4.9
Cameroon,CMR,"Inflation, consumer prices (annual %)",0,0.37,0.18,11.45,12.31,5.89,6.61,4.56,1.87,3.29,2.17,1.54,2.44,2.27
"Congo, Dem. Rep.",COD,"Inflation, consumer prices (annual %)",7.8,19.28,13.18,65.56,49.5,64.41,6424.99,39.38,184.45,14.28,6.84,0.73,0,0
"Congo, Rep.",COG,"Inflation, consumer prices (annual %)",0,0,0,0,0,0.77,8.93,4.72,1.7,4.33,2.54,2.3,1.8,1.72
Colombia,COL,"Inflation, consumer prices (annual %)",12.44,9.1,1.73,23.98,22.93,24.3,26.36,17.94,7.32,5.22,2.75,4.72,2.52,3.5
Comoros,COM,"Inflation, consumer prices (annual %)",0,0,0,0,0,0,0,0,3.47,3.38,1.44,0,0,0
Cabo Verde,CPV,"Inflation, consumer prices (annual %)",0,0,0,0,2.25,5.75,6.51,6.32,0.41,3.59,2.7,0.37,0.61,1.86
